name,ring,quadrant,isNew,description
Android Things,Stop,Mobile,FALSE,"<p><strong>Android Things</strong> lets you build professional, mass-market products on a trusted platform, without previous knowledge of embedded system design. It reduces the large, upfront development costs and the risks inherent in getting your idea off the ground. When you’re ready to ship large quantities of devices, your costs also scale linearly and ongoing engineering and testing costs are minimized with Google-provided updates.</p>

<p>Android Things extends the core Android framework with additional APIs provided by the Things Support Library, which lets you integrate with new types of hardware not found on mobile devices.
Developing apps for embedded devices is different from mobile in a few important ways such as:</p>

<ul>
  <li>More flexible access to hardware peripherals and drivers than mobile devices</li>
  <li>System apps are not present to optimize startup and storage requirements
Apps are launched automatically on startup to immerse your users in the app experience.</li>
  <li>Devices expose only one app to users, instead of multiple like with mobile devices.</li>
</ul>

<p><img src=""https://developer.android.com/things/images/platform-architecture.png"" alt=""SDK"" /></p>

<p><strong>Why?</strong>
Android of Things became obsolete as Google <a href=""https://android-developers.googleblog.com/2019/02/an-update-on-android-things.html"">retargeting it to a small set of devices</a>. It continues to be closed source as well and gains less traction due to this fact as well.</p>
"
AngularJS,Stop,Frontend,FALSE,"<p>AngukarJs has been a very popular framework, about 8 years ago before HTML5 standards were widely embraced by all browsers.</p>

<p>AngularJs was about MVC and only in its last versions has shifted to support components.</p>

<p>On large scale applications, its change detection mechanism, based on scopes that prototypically inherited one another, was indeterministic and their DOM manipulation was built upon jQlite, a subset of jQuery, that because of browser support for HTML5 APIs has become a burden instead of being necessary.</p>

<p>Nowadays it is hard to hire angularJs developers because the market had shifted from it.</p>

<p>The Angular time has decided to rewrite the entire framework, and  Angular is a different framework than its ancestor only with a similar name.</p>

<p>Therefore, we recommend stopping using it.</p>
"
Apache Nifi,Stop,Backend,FALSE,"<p>Apache NiFi is a software project from the Apache Software Foundation designed to automate the flow of data between software systems. It is based on the “NiagaraFiles” software previously developed by the NSA, which is also the source of a part of its present name – NiFi. It was open-sourced as a part of the NSA’s technology transfer program in 2014.</p>

<p>The software design is based on the flow-based programming model and offers features which prominently include the ability to operate within clusters, security using TLS encryption, extensibility (users can write their own software to extend its abilities) and improved usability features like a portal which can be used to view and modify behavior visually.</p>

<p><em>Flow Oriented Programming</em> is a concept in software development in which software engineers develop chunks of <strong>low-level</strong> business logic by writing code (such as Go, Javascript or Java) and a flow editor in which every chunk is represented as a graphical block.
This way other company non-technological persons are able to create their own <strong>high-level</strong> business logic by using and connecting low-level blocks.</p>

<p>Why should we stop doing this?
NiFi didn’t succeed eventually. Probably this is a too complex platform for a rather simple task.</p>
"
Chef,Stop,DevOps,FALSE,"<p>Chef is a pool based configuration management tool. The pool paradigm enables the chef to manage very large infrastructure from a single server that contains a repository of “recipes”  and “cookbooks” written in a ruby based DSL.
The shift to container-based deployments (and orchestrators such as Kubernetes) reduced the need for server configuration management tools.</p>
"
EventBus,Stop,Mobile,FALSE,"<p><strong>Why should you avoid using an event bus?</strong></p>

<p>One common pattern in Android development is the use of event buses. Libraries like Otto and EventBus are often used to remove boilerplate listeners that require tunneling code through many layers of hierarchy. Although an event bus might seem convenient at first, they quickly devolve into a mess of tangled events that are incredibly hard to follow and even more difficult to debug.</p>

<p><strong>Treating Producers Like Synchronous Getters</strong></p>

<p>This is another common pattern that’s incredibly hard to undo in a larger codebase. Often times many activities or fragments will assume events are produced as soon as that component subscribes to the event bus. They’ll set a field based on the event, and then proceed to use that field in other lifecycle methods with the assumption that it is not null.</p>

<p><strong>Alternatives</strong></p>

<p>No library or tool will fix these problems for free, but some tools and patterns will encourage you to do things the right way.</p>

<p>An event bus, when used correctly, can probably avoid these issues. However, it also encourages these practices more than most tools. Using simple listeners, although they will require more code, will make things much easier to understand.</p>

<p>For more complex scenarios, RxJava provides a great solution</p>
"
Flow,Stop,Frontend,FALSE,"<p><strong>Flow</strong> is a static type checker for your JavaScript code developed and promoted by Facebook as an alternative to TypeScript. Flow uses static type annotations. This typing can also be done by flow implicitly by analyzing the code. For example.</p>

<p>It is an alternative to Typescript, however, as Typescript is gaining more traction and is becoming the defacto standard for the need for Flow is diminished. This is why we don’t encourage using Flow for type safety.</p>
"
Flume,Stop,Backend,FALSE,"<p>Flume is a tool for collecting/streaming data to hdfs, used mostly for logs.
we put it in stop since other alternatives caught on.
like: Fluentd, Logstash, etc…</p>
"
GitFlow Development,Stop,Backend,FALSE,"<p>GitFlow is a branching model for Git, created by Vincent Driessen. Although it states: “…very well suited to collaboration and scaling the development team” we have come to the conclusion that it is very hard and tedious to maintain with many problems most of which due to its high complexity. One of the major problems is that facilitates many merges on many different levels. Also, all merges are humongous as most branches are long-lived and are not updated necessarily infrequent intervals. Many merges that are performed are also not done by the code owner himself but by others which can lead to major problems.</p>

<p>Stop using this model and use an easier branching model. Everyone will benefit from this.</p>
"
Google Support API,Stop,Mobile,FALSE,"<p><strong>Google Support API</strong></p>

<p><em>Background</em>
Almost any Android application relies on third party services such as: 
Geo Location, database, and storage, networking management, UI tools, and widgets.</p>

<p>In addition, as the Android framework evolved on every new API, it still required to support old devices that run older APIs. 
For this, the Android framework offers the Google Support API libraries which provide services, UI tools, and backward compatibility support.</p>

<p><em>Support Library Uses</em></p>

<ol>
  <li>
    <p>Backward compatibility for newer API 
For example, Android Fragments introduced in API 11 (Android 3.0), if you want to use Fragments on older APIS we can use the fragment support library.</p>
  </li>
  <li>
    <p>Helper Classes
The Support library provides helpers classes and tools such as Fragments, the Recycler View and the Constraint Layout</p>
  </li>
  <li>
    <p>Testing and Debugging Tools
Testing and Debugging is a fundamental principle in SW development as well in Android. 
The Support library offers a number of classes beyond our code include the <a href=""https://developer.android.com/studio/write/annotations"">support-annotation library</a> and <a href=""https://developer.android.com/topic/libraries/testing-support-library/"">Testing Support Library</a> 
that help us to test and debug our app.</p>
  </li>
</ol>

<p><a href=""https://developer.android.com/topic/libraries/testing-support-library/"">Google Support API</a></p>

"
Groovy,Stop,Backend,FALSE,"<p>Groovy is an object oriented language which is based on the JVM.  It is both a static and dynamic language. It can be used as both a programming language and a scripting language.</p>

<p>We recommend stopping using Groovy except for in tools such as Jenkins and/or Gradle.
The reason for this is for one, the loss of popularity for this language and a lack of community. Also, is a much slower language as java itself or other JVM based languages. Furthermore, there are other more popular Languages based on the JVM which has a much larger community and have a much higher adoption rate. The communities are growing and the language is evolving at a high pace.
All of this is not happening with Groovy…</p>
"
